seconds,processes,cpu_machine_percent,working_set_mb,private_mb
896.1,7,0.334,360.97,156.38
901.2,7,0.360,360.97,156.38
906.2,7,0.463,360.96,156.38
911.3,7,0.464,360.96,156.38
916.3,7,0.437,360.95,156.35
921.4,7,0.334,360.89,156.27
926.5,7,0.386,361.60,156.94
931.5,7,0.359,361.60,156.94
936.6,7,0.515,361.18,156.54
941.7,7,0.335,361.18,156.54
946.7,7,0.411,361.13,156.46
951.8,7,0.360,361.13,156.46
956.9,7,0.412,361.13,156.46
961.9,7,0.411,361.09,156.37
967.0,7,0.437,361.13,156.45
972.0,7,0.386,361.13,156.45
977.1,7,0.386,361.13,156.45
982.2,7,0.541,361.13,156.45
987.2,7,0.360,361.13,156.45
992.3,7,0.437,361.16,156.50
997.4,7,0.360,361.14,156.45
1002.4,7,0.566,361.14,156.45
1007.5,7,0.386,361.07,156.38
1012.5,7,0.385,361.07,156.38
1017.6,7,0.463,361.07,156.38
1022.7,7,0.257,361.07,156.38
1027.7,7,0.540,361.07,156.38
1032.8,7,0.361,361.07,156.38
1037.8,7,0.360,361.07,156.38
1042.9,7,0.309,361.07,156.38
1048.0,7,0.463,361.07,156.37
1053.0,7,0.489,361.06,156.34
1058.1,7,0.437,361.06,156.34
1063.1,7,0.438,361.06,156.34
1068.2,7,0.360,361.06,156.34
1073.3,7,0.257,361.06,156.34
1078.3,7,0.205,361.06,156.34
1083.4,7,0.335,361.06,156.34
1088.4,7,0.335,361.06,156.34
1093.5,7,0.309,361.06,156.34
1098.6,7,0.309,361.06,156.34
1103.6,7,0.515,361.06,156.34
1108.7,7,0.309,361.06,156.34
1113.7,7,0.334,361.10,156.41
1118.8,7,0.412,361.09,156.37
1123.9,7,0.283,361.09,156.37
1128.9,7,0.386,361.09,156.37
1134.0,7,0.335,361.09,156.37
1139.0,7,0.360,361.12,156.42
1144.1,7,0.361,361.13,156.42
1149.2,7,0.385,361.13,156.42
1154.2,7,0.309,361.13,156.42
1159.3,7,0.334,361.13,156.42
1164.3,7,0.335,361.13,156.42
1169.4,7,0.540,361.04,156.34
1174.5,7,0.334,361.04,156.31
1179.5,7,0.411,361.05,156.34
1184.6,7,0.642,361.01,156.28
1189.7,7,0.386,361.01,156.27
1194.7,7,0.386,361.01,156.27
1199.8,7,0.438,361.01,156.27
1204.8,7,0.309,361.00,156.27
1209.9,7,0.257,361.00,156.27
1215.0,7,0.335,361.00,156.27
1220.0,7,0.515,361.00,156.27
1225.1,7,0.283,360.98,156.23
1230.1,7,0.180,360.98,156.23
1235.2,7,0.360,360.98,156.21
1240.3,7,0.386,360.99,156.24
1245.3,7,0.360,360.99,156.24
