seconds,processes,cpu_machine_percent,cpu_core_percent,working_set_mb,private_mb,heard
1215.3,7,0.322,3.868,361.12,156.42,1
1217.3,7,0.195,2.335,361.12,156.42,1
1219.3,7,0.585,7.016,361.12,156.42,1
1221.3,7,0.260,3.119,361.12,156.42,1
1223.3,7,0.325,3.897,361.12,156.42,1
1225.3,7,0.324,3.889,361.12,156.42,1
1227.3,7,0.324,3.883,361.12,156.42,1
1229.3,7,0.388,4.660,361.12,156.42,1
1231.3,7,0.324,3.890,361.12,156.42,1
1233.3,7,0.777,9.323,361.04,156.34,1
1235.4,7,0.324,3.888,361.04,156.34,1
1237.4,7,0.194,2.324,361.05,156.34,1
1239.4,7,0.585,7.020,361.04,156.31,1
1241.4,7,0.518,6.213,361.05,156.34,1
1243.4,7,0.324,3.894,361.05,156.34,1
1245.4,7,0.454,5.443,361.05,156.34,1
1247.4,7,0.776,9.315,361.05,156.34,1
1249.4,7,0.585,7.021,361.01,156.28,1
1251.4,7,0.389,4.672,361.01,156.27,1
1253.4,7,0.324,3.886,361.01,156.27,1
1255.4,7,0.519,6.229,361.01,156.27,1
1257.5,7,0.388,4.654,361.01,156.27,1
1259.5,7,0.259,3.110,361.01,156.27,1
1261.5,7,0.585,7.015,361.01,156.27,1
1263.5,7,0.260,3.116,361.01,156.27,1
1265.5,7,0.194,2.331,361.01,156.27,1
1267.5,7,0.389,4.674,361.00,156.27,1
1269.5,7,0.388,4.661,361.00,156.27,1
1271.5,7,0.195,2.337,361.00,156.27,1
1273.5,7,0.323,3.874,361.00,156.27,1
1275.5,7,0.585,7.018,361.00,156.27,1
1277.5,7,0.260,3.117,361.00,156.27,1
1279.5,7,0.130,1.559,361.00,156.27,1
1281.5,7,0.650,7.795,361.00,156.27,1
1283.5,7,0.650,7.798,361.00,156.27,1
1285.6,7,0.065,0.775,361.00,156.27,1
1287.6,7,0.260,3.118,361.00,156.27,1
1289.6,7,0.389,4.672,360.98,156.23,1
1291.6,7,0.194,2.329,360.99,156.24,1
1293.6,7,0.129,1.550,360.98,156.23,1
1295.6,7,0.390,4.676,360.98,156.23,1
1297.6,7,0.324,3.893,360.99,156.24,1
1299.6,7,0.324,3.892,360.98,156.21,1
1301.6,7,0.389,4.671,360.99,156.24,1
1303.6,7,0.389,4.664,360.99,156.24,1
1305.6,7,0.454,5.453,360.99,156.24,1
1307.6,7,0.325,3.897,360.99,156.24,1
1309.6,7,0.260,3.120,360.99,156.24,1
1311.7,7,0.323,3.878,360.99,156.24,1
1313.7,7,0.520,6.240,360.99,156.24,1
1315.7,7,0.323,3.879,360.99,156.24,1
1317.7,7,0.195,2.337,360.99,156.24,1
1319.7,7,0.516,6.195,360.99,156.24,1
1321.7,7,0.260,3.120,360.99,156.24,1
1323.7,7,0.195,2.338,360.99,156.24,1
1325.7,7,0.387,4.649,360.99,156.24,1
1327.7,7,0.518,6.211,360.99,156.24,1
1329.8,7,0.647,7.765,360.99,156.24,1
1331.8,7,0.130,1.559,360.99,156.24,1
1333.8,7,0.388,4.659,360.99,156.24,1
1335.8,7,0.389,4.669,360.99,156.24,1
1337.8,7,0.516,6.187,360.99,156.24,1
1339.8,7,0.259,3.103,360.99,156.24,1
1341.8,7,0.325,3.894,360.97,156.22,1
1343.8,7,0.389,4.668,360.97,156.22,1
1345.8,7,0.195,2.337,360.97,156.22,1
1347.8,7,0.389,4.671,360.97,156.22,1
1349.8,7,0.455,5.455,360.97,156.22,1
1351.9,7,0.324,3.893,360.97,156.22,1
1353.9,7,0.260,3.119,360.97,156.22,1
1355.9,7,0.390,4.676,360.97,156.22,1
1357.9,7,0.389,4.664,360.99,156.22,1
1359.9,7,0.194,2.332,360.99,156.22,1
1361.9,7,0.390,4.677,360.99,156.22,1
1363.9,7,0.260,3.119,360.99,156.22,1
1365.9,7,0.000,0.000,360.99,156.22,1
1367.9,7,0.194,2.333,360.99,156.22,1
1369.9,7,0.194,2.331,360.99,156.22,1
1371.9,7,0.194,2.325,360.99,156.22,1
1373.9,7,0.130,1.559,360.99,156.22,1
1375.9,7,0.130,1.557,360.99,156.22,1
1378.0,7,0.453,5.433,360.99,156.22,1
1380.0,7,0.259,3.104,360.99,156.22,1
1382.0,7,0.454,5.449,360.99,156.22,1
1384.0,7,0.455,5.459,360.99,156.22,1
1386.0,7,0.325,3.895,360.99,156.22,1
1388.0,7,0.259,3.111,360.99,156.23,1
1390.0,7,0.324,3.887,360.99,156.23,1
1392.0,7,0.388,4.658,360.99,156.23,1
1394.0,7,0.389,4.666,360.99,156.23,1
1396.0,7,0.389,4.664,360.99,156.23,1
1398.0,7,0.325,3.899,360.99,156.23,1
1400.1,7,0.454,5.449,360.99,156.23,1
1402.1,7,0.389,4.665,360.99,156.23,1
1404.1,7,0.454,5.446,360.99,156.23,1
1406.1,7,0.325,3.897,360.99,156.23,1
1408.1,7,0.715,8.574,360.99,156.23,1
1410.1,7,0.259,3.104,360.99,156.23,1
1412.1,7,0.389,4.668,360.99,156.23,1
1414.1,7,0.325,3.895,360.99,156.22,1
1416.1,7,0.324,3.894,361.04,156.27,1
1418.1,7,0.194,2.327,361.01,156.23,1
1420.1,7,0.260,3.119,361.01,156.23,1
1422.1,7,0.585,7.018,361.01,156.23,1
1424.1,7,0.518,6.222,361.01,156.23,1
1426.2,7,0.194,2.333,361.01,156.23,1
1428.2,7,0.581,6.972,361.01,156.23,1
1430.2,7,0.260,3.118,361.01,156.23,1
1432.2,7,0.455,5.456,361.01,156.23,1
1434.2,7,0.389,4.672,361.01,156.23,1
1436.2,7,0.454,5.452,361.01,156.23,1
1438.2,7,0.325,3.898,361.02,156.23,1
1440.2,7,0.387,4.646,361.02,156.23,1
1442.2,7,0.453,5.430,361.02,156.23,1
1444.2,7,0.519,6.229,361.02,156.23,1
1446.3,7,0.194,2.326,361.00,156.17,1
1448.3,7,0.390,4.675,361.02,156.23,1
1450.3,7,0.452,5.422,361.01,156.20,1
1452.3,7,0.260,3.114,360.99,156.18,1
1454.3,7,0.390,4.675,360.99,156.18,1
1456.3,7,0.776,9.316,360.99,156.18,1
1458.3,7,0.907,10.890,360.99,156.18,1
1460.3,7,0.389,4.664,360.99,156.18,1
1462.3,7,0.453,5.440,360.99,156.18,1
1464.3,7,0.585,7.016,360.99,156.18,1
1466.3,7,0.389,4.663,360.99,156.18,1
1468.3,7,0.325,3.896,360.99,156.18,1
1470.4,7,0.779,9.345,360.99,156.18,1
1472.4,7,0.646,7.757,361.02,156.22,1
1474.4,7,0.388,4.655,361.02,156.22,1
1476.4,7,0.584,7.013,361.05,156.27,1
1478.4,7,0.518,6.218,361.06,156.29,1
1480.4,7,0.583,6.992,361.06,156.29,1
1482.4,7,0.454,5.442,361.06,156.29,1
1484.4,7,0.389,4.663,361.06,156.29,1
1486.4,7,0.452,5.421,361.06,156.29,1
1488.5,7,0.324,3.892,361.06,156.29,1
1490.5,7,0.258,3.100,361.06,156.29,1
1492.5,7,0.518,6.215,361.06,156.29,1
1494.5,7,0.454,5.443,361.06,156.29,1
1496.5,7,0.390,4.675,361.06,156.29,1
1498.5,7,0.452,5.429,361.06,156.29,1
1500.5,7,0.324,3.893,361.06,156.29,1
1502.5,7,0.324,3.886,361.06,156.29,1
1504.5,7,0.455,5.460,361.06,156.29,1
1506.5,7,0.454,5.451,361.01,156.20,1
1508.6,7,0.323,3.879,361.05,156.29,1
1510.6,7,0.454,5.452,361.05,156.29,1
1512.6,7,0.390,4.677,361.05,156.29,1
1514.6,7,0.452,5.424,361.05,156.29,1
1516.6,7,0.390,4.677,361.05,156.29,1
1518.6,7,0.325,3.900,361.05,156.29,1
1520.6,7,0.260,3.119,361.05,156.29,1
1522.6,7,0.454,5.452,361.05,156.29,1
1524.6,7,0.324,3.894,361.05,156.29,1
1526.6,7,0.323,3.878,361.05,156.29,1
1528.6,7,0.519,6.230,361.05,156.29,1
1530.6,7,0.519,6.229,361.05,156.29,1
1532.6,7,0.453,5.433,361.05,156.28,1
1534.7,7,0.454,5.454,361.05,156.28,1
1536.7,7,0.389,4.666,361.09,156.33,1
1538.7,7,0.390,4.674,361.05,156.29,1
1540.7,7,0.259,3.104,361.05,156.29,1
1542.7,7,0.324,3.892,361.05,156.29,1
1544.7,7,0.389,4.672,361.05,156.29,1
1546.7,7,0.582,6.984,361.05,156.29,1
1548.7,7,0.260,3.119,361.05,156.29,1
1550.7,7,0.388,4.651,361.05,156.29,1
1552.7,7,0.454,5.449,361.05,156.29,1
1554.7,7,0.194,2.328,361.05,156.29,1
1556.8,7,0.454,5.449,361.05,156.29,1
1558.8,7,0.778,9.337,361.05,156.29,1
1560.8,7,0.455,5.456,361.05,156.29,1
1562.8,7,0.259,3.106,361.05,156.29,1
1564.8,7,0.194,2.334,361.05,156.29,1
1566.8,7,0.517,6.208,361.04,156.23,1
1568.8,7,0.390,4.674,361.07,156.29,1
1570.8,7,0.453,5.434,361.07,156.29,1
1572.8,7,0.325,3.897,361.07,156.29,1
1574.8,7,0.455,5.459,361.07,156.29,1
1576.8,7,0.715,8.576,361.07,156.29,1
1578.8,7,0.649,7.791,361.07,156.29,1
1580.8,7,0.453,5.441,361.07,156.29,1
1582.9,7,0.259,3.108,361.07,156.29,1
1584.9,7,0.452,5.424,361.04,156.23,1
1586.9,7,0.195,2.339,361.03,156.23,1
1588.9,7,0.583,6.998,361.03,156.23,1
1590.9,7,0.260,3.118,361.03,156.23,1
1592.9,7,0.324,3.893,361.02,156.22,1
1594.9,7,0.519,6.226,361.02,156.22,1
1596.9,7,0.650,7.797,361.02,156.20,1
1598.9,7,0.389,4.667,361.02,156.20,1
1600.9,7,0.260,3.119,361.03,156.23,1
1602.9,7,0.453,5.442,361.03,156.23,1
1604.9,7,0.325,3.894,361.03,156.23,1
1607.0,7,0.259,3.103,361.03,156.23,1
1609.0,7,0.584,7.009,361.03,156.23,1
1611.0,7,0.715,8.576,361.03,156.23,1
1613.0,7,0.195,2.339,361.03,156.23,1
1615.0,7,0.194,2.330,361.03,156.23,1
1617.0,7,0.646,7.758,361.03,156.23,1
1619.0,7,0.324,3.893,361.03,156.23,1
1621.0,7,0.388,4.660,361.03,156.23,1
1623.0,7,0.844,10.128,361.03,156.23,1
1625.0,7,0.585,7.020,361.03,156.23,1
1627.0,7,0.388,4.662,360.99,156.14,1
1629.0,7,0.455,5.458,361.02,156.22,1
1631.0,7,0.519,6.234,361.02,156.22,1
1633.1,7,0.452,5.420,361.02,156.22,1
1635.1,7,0.387,4.644,361.02,156.22,1
1637.1,7,0.520,6.239,361.02,156.22,1
1639.1,7,0.842,10.102,361.02,156.22,1
1641.1,7,0.774,9.290,361.02,156.22,1
1643.1,7,0.260,3.119,361.02,156.22,1
1645.1,7,0.584,7.004,361.02,156.22,1
1647.1,7,0.584,7.011,361.02,156.22,1
1649.1,7,0.325,3.897,361.02,156.22,1
1651.2,7,0.387,4.644,361.00,156.19,1
1653.2,7,0.777,9.319,361.03,156.23,1
1655.2,7,0.453,5.441,361.03,156.23,1
1657.2,7,0.259,3.114,361.04,156.23,1
1659.2,7,0.389,4.671,361.02,156.21,1
1661.2,7,0.454,5.449,361.04,156.23,1
1663.2,7,0.388,4.656,361.04,156.23,1
1665.2,7,0.325,3.898,361.04,156.23,1
1667.2,7,0.389,4.671,361.04,156.23,1
1669.2,7,0.388,4.656,361.04,156.23,1
1671.3,7,0.258,3.097,361.04,156.23,1
1673.3,7,0.258,3.101,361.04,156.23,1
1675.3,7,0.584,7.008,361.04,156.23,1
1677.3,7,0.258,3.101,361.04,156.23,1
1679.3,7,0.260,3.116,361.04,156.23,1
1681.3,7,0.519,6.233,361.04,156.23,1
1683.3,7,0.517,6.206,361.04,156.23,1
1685.3,7,0.325,3.896,361.04,156.23,1
1687.3,7,0.260,3.119,361.04,156.24,1
1689.3,7,0.519,6.222,361.04,156.24,1
1691.3,7,0.520,6.240,361.04,156.24,1
1693.3,7,0.324,3.887,361.04,156.24,1
1695.4,7,0.390,4.674,361.04,156.24,1
1697.4,7,0.519,6.233,361.04,156.24,1
1699.4,7,0.260,3.118,361.04,156.24,1
1701.4,7,0.650,7.798,361.05,156.24,1
1703.4,7,0.452,5.427,361.05,156.24,1
1705.4,7,0.649,7.785,361.05,156.24,1
1707.4,7,0.194,2.326,361.05,156.24,1
1709.4,7,0.195,2.338,361.05,156.24,1
1711.4,7,0.260,3.121,361.05,156.24,1
1713.4,7,0.323,3.873,361.04,156.23,1
1715.4,7,0.581,6.972,361.04,156.23,1
1717.5,7,0.520,6.239,361.04,156.24,1
1719.5,7,0.324,3.887,361.03,156.21,1
1721.5,7,0.389,4.663,361.04,156.24,1
1723.5,7,0.389,4.670,361.04,156.24,1
1725.5,7,0.519,6.226,361.04,156.24,1
1727.5,7,0.390,4.674,361.04,156.24,1
1729.5,7,0.389,4.672,361.04,156.24,1
1731.5,7,0.388,4.655,361.04,156.24,1
1733.5,7,0.519,6.222,361.04,156.24,1
1735.5,7,0.454,5.443,361.04,156.24,1
1737.5,7,0.325,3.895,361.04,156.24,1
1739.5,7,0.454,5.444,361.04,156.24,1
1741.6,7,0.649,7.784,361.04,156.24,1
1743.6,7,0.260,3.119,361.04,156.24,1
1745.6,7,0.260,3.115,361.04,156.24,1
1747.6,7,0.389,4.665,361.04,156.23,1
1749.6,7,0.584,7.008,361.04,156.23,1
1751.6,7,0.195,2.336,361.04,156.23,1
1753.6,7,0.260,3.115,361.04,156.23,1
1755.6,7,0.518,6.211,361.04,156.23,1
1757.6,7,0.259,3.109,361.04,156.23,1
1759.6,7,0.260,3.119,361.04,156.23,1
1761.6,7,0.390,4.680,361.04,156.23,1
1763.6,7,0.519,6.234,361.04,156.23,1
1765.6,7,0.259,3.111,361.04,156.23,1
1767.6,7,0.389,4.666,361.04,156.23,1
1769.7,7,0.518,6.218,361.04,156.23,1
1771.7,7,0.259,3.114,361.04,156.23,1
1773.7,7,0.520,6.240,361.04,156.23,1
1775.7,7,0.520,6.238,361.04,156.23,1
1777.7,7,0.390,4.676,361.16,156.38,1
1779.7,7,0.390,4.675,361.15,156.35,1
1781.7,7,0.260,3.115,361.16,156.38,1
1783.7,7,0.582,6.989,361.16,156.38,1
1785.7,7,0.648,7.779,361.16,156.38,1
1787.7,7,0.325,3.895,361.16,156.38,1
1789.7,7,0.452,5.428,361.16,156.38,1
1791.7,7,0.454,5.446,361.16,156.38,1
1793.7,7,0.518,6.213,361.16,156.38,1
1795.8,7,0.518,6.211,361.16,156.38,1
1797.8,7,0.454,5.448,361.16,156.38,1
1799.8,7,0.518,6.219,361.16,156.38,1
1801.8,7,0.325,3.899,361.16,156.38,1
